,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,580320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,147,579900,157
2,588034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,218,583235,261
3,816450,49853,46688,1237,250,8676,33194,561,-1,-1,23203,64383,700710,25151
4,2646270,54579,49664,1285,250,8676,33194,561,-1,-1,1843030,64455,708621,1845249
5,2702972,66084,61735,1335,250,8676,33194,561,-1,-1,1871435,64527,732415,1873935
6,2732400,71676,66564,1383,250,8676,33194,561,-1,-1,1888084,64600,743051,1890865
7,2738910,74022,68348,1410,250,8676,33194,561,-1,-1,1888546,64632,747310,1891411
8,2803857,79840,73497,1452,292,10937,75002,610,-1,-1,1894879,110188,758486,1898493
9,2822531,85788,78245,1512,292,10937,75002,610,-1,-1,1899419,110261,769493,1903326
10,2842014,91839,83115,1556,292,10937,75002,610,-1,-1,1900496,110334,780625,1904599
11,3047403,96998,88194,1589,333,12865,257714,687,-1,-1,1906689,296496,791055,1911063
12,3102445,105258,94865,1619,333,12865,257714,687,-1,-1,1935121,296567,806178,1947837
13,606467,11562,5316,60,-1,-1,-1,-1,-1,-1,-1,284,600549,390
14,3268398,110220,112021,1651,25576,16597,366105,710,-1,26,1937133,434795,828706,1950487
15,3295935,116587,120559,1702,25619,17183,366105,710,-1,26,1941751,435803,843829,1955373
16,3320836,120887,127113,1734,25619,17183,366105,710,-1,26,1953592,435875,854877,1967501
17,3329619,122737,129591,1749,25619,17183,366105,710,-1,26,1954211,435908,859304,1968207
18,3349942,127028,135719,1781,25662,19073,368408,760,-1,26,1957054,441666,869920,1971318
19,3368258,133353,144408,1811,25662,19073,368408,760,-1,26,1958081,441738,885136,1972540
20,3408901,137827,150453,1860,25705,21671,381203,794,-1,26,1960688,457869,895868,1975266
21,3426998,141983,156800,1892,25705,21671,381203,794,-1,26,1966789,457941,906566,1981651
22,15561729,146110,162875,1923,25705,21671,381203,794,-1,26,14086550,458013,916963,14101696
23,15760689,206632,236002,1954,25705,21671,381203,794,-1,26,14147527,458085,1050813,14162955
24,632442,20590,17656,122,-1,-1,-1,-1,-1,-1,-1,354,622171,496
25,15808969,215699,250271,1986,25705,21671,381203,794,-1,26,14161510,458156,1074575,14177223
