,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
71,27229520,723479,847502,3311,25299,46072,2692879,1590,-1,226,21557868,3014211,2567275,21613920
72,27499936,729234,858991,3339,45824,48253,2919086,1590,-1,226,21558821,3266058,2584687,21615055
73,27622525,737791,866946,3366,45867,49959,3014766,1661,-1,226,21563733,3366773,2601360,21620234
74,27648829,746743,878623,3415,45867,49959,3014766,1661,-1,226,21564145,3368866,2622176,21623609
75,27670393,751897,887879,3460,45867,49959,3014766,1661,-1,246,21567502,3371628,2636762,21627804
76,27688259,757895,896076,3487,45867,49959,3014766,1661,-1,246,21568496,3373922,2651122,21628993
77,27793121,765728,904477,3532,45910,51722,3092623,1732,-1,246,21573559,3457024,2667539,21634316
78,27814940,775539,911016,3574,45910,51722,3092623,1732,-1,246,21573915,3459227,2684072,21637377
79,4875073,53224,55253,278,383,5124,199298,486,-1,-1,3522127,228276,1089267,3525379
80,27845006,780406,926477,3601,45910,51722,3092623,1732,-1,267,21576573,3465272,2704567,21640882
81,28027409,785089,936420,3642,65912,53810,3233425,1732,-1,267,21577579,3631668,2719364,21642072
82,28086474,792592,946681,3669,65993,57641,3253231,2794,-1,267,21583899,3665226,2737295,21649622
83,28109829,798093,957423,3696,65993,57641,3253231,2794,-1,267,21587232,3668175,2754047,21653248
84,28127206,802794,965349,3738,66045,58261,3253231,2794,-1,267,21587356,3671688,2767040,21654101
85,28147697,808155,975323,3792,66045,58261,3253231,2794,-1,267,21587356,3676507,2782562,21654228
86,28168354,812932,988419,3819,66045,58261,3253231,2794,-1,267,21587356,3678824,2800701,21654380
87,4922895,57271,62778,305,383,5124,199298,486,-1,-1,3547662,230602,1101010,3559110
